Title,Season,Genres,Language,Release Date,Content Type
White Lines,ALL,Drama,English,2020-05-15,TV
Homemade,ALL,Anthology,English,2020-06-30,TV
Warrior Nun,ALL,Fantasy,English,2020-07-02,TV
Cursed,ALL,Fantasy,English,2020-07-17,TV
Young Wallander,ALL,"Drama,Mystery",English,2020-09-03,TV
Away,ALL,Science Fiction,English,2020-09-04,TV
Ratched,ALL,Thriller,English,2020-09-18,TV
The Haunting of Bly Manor,ALL,"Horror,Romance",English,2020-10-09,TV
Social Distance,ALL,Anthology,English,2020-10-15,TV
Grand Army,ALL,"Drama,Teen",English,2020-10-16,TV
The Queen's Gambit,ALL,"History,Drama,Teen",English,2020-10-23,TV
Dash & Lily,ALL,Romance,English,2020-11-10,TV
Kings of Jo'Burg,ALL,"Fantasy,Drama,Crime",English,2020-12-04,TV
Tiny Pretty Things,ALL,"Drama,Teen",English,2020-12-14,TV
Fate: The Winx Saga,ALL,"Fantasy,Drama,Teen",English,2021-01-22,TV
Firefly Lane,ALL,Drama,English,2021-02-03,TV
Behind Her Eyes,ALL,Thriller,English,2021-02-17,TV
The One,ALL,Science Fiction,English,2021-03-12,TV
The Irregulars,ALL,"Drama,Mystery",English,2021-03-26,TV
Shadow and Bone,ALL,"Fantasy,Drama",English,2021-04-23,TV
Jupiter's Legacy,ALL,Action,English,2021-05-07,TV
Halston,ALL,Drama,English,2021-05-14,TV
Sweet Tooth,ALL,"Fantasy,Drama",English,2021-06-04,TV
Jiva!,ALL,Drama,English,2021-06-24,TV
Sex/Life,ALL,Drama,English,2021-06-25,TV
Hit & Run,ALL,Thriller,English,2021-08-06,TV
Brand New Cherry Flavor,ALL,"Horror,Thriller",English,2021-08-13,TV
Clickbait,ALL,Thriller,English,2021-08-25,TV
King of Boys: The Return of the King,ALL,"Drama,Crime",English,2021-08-27,TV
Midnight Mass,ALL,Horror,English,2021-09-24,TV
Maid,ALL,"Comedy,Drama",English,2021-10-01,TV
Colin in Black & White,ALL,"Biography,Drama",English,2021-10-29,TV
Cowboy Bebop,ALL,Science Fiction,English,2021-11-19,TV
True Story,ALL,Drama,English,2021-11-24,TV
